#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 28 05 21 260  2.1  2.6    MM    MM    MM  MM 1007.8   1.6    MM  -0.3   MM   MM    MM
2023 09 28 05 11 260  2.1  2.1    MM    MM    MM  MM 1007.8   1.8    MM  -0.1   MM   MM    MM
2023 09 28 05 00 270  2.1  2.6    MM    MM    MM  MM 1007.8   1.7    MM  -0.2   MM   MM    MM
2023 09 28 04 51 270  2.1  2.1    MM    MM    MM  MM 1007.8   1.7    MM  -0.1   MM   MM    MM
2023 09 28 04 40 260  2.1  2.6    MM    MM    MM  MM 1007.8   1.4    MM  -0.5   MM   MM    MM
2023 09 28 04 31 260  2.6  2.6    MM    MM    MM  MM 1007.8   1.6    MM  -0.6   MM   MM    MM
2023 09 28 04 21 270  2.6  3.1    MM    MM    MM  MM 1007.7   1.8    MM  -0.5   MM   MM    MM
2023 09 28 04 11 270  2.6  3.1    MM    MM    MM  MM 1007.7   2.1    MM  -0.5   MM   MM    MM
2023 09 28 04 01 270  3.1  3.1    MM    MM    MM  MM 1007.7   2.2    MM  -0.6   MM   MM    MM
2023 09 28 03 51 270  3.1  3.1    MM    MM    MM  MM 1007.7   2.3    MM  -0.9   MM   MM    MM
2023 09 28 03 41 260  2.6  3.1    MM    MM    MM  MM 1007.7   2.3    MM  -1.4   MM   MM    MM
2023 09 28 03 32 260  3.1  3.6    MM    MM    MM  MM 1007.7   2.4    MM  -1.4   MM   MM    MM
2023 09 28 03 21 250  2.6  3.1    MM    MM    MM  MM 1007.6   2.5    MM  -1.6   MM   MM    MM
2023 09 28 03 10 260  3.1  3.6    MM    MM    MM  MM 1007.6   2.4    MM  -2.7   MM   MM    MM
2023 09 28 03 00 250  3.6  4.1    MM    MM    MM  MM 1007.5   2.5    MM  -3.7   MM   MM    MM
2023 09 28 02 50 250  4.1  4.6    MM    MM    MM  MM 1007.5   2.5    MM  -3.7   MM   MM    MM
2023 09 28 02 41 260  3.6  4.6    MM    MM    MM  MM 1007.5   2.2    MM  -3.8   MM   MM    MM
2023 09 28 02 25 240  4.1  4.6    MM    MM    MM  MM 1007.4   3.1    MM  -4.6   MM   MM    MM
2023 09 28 02 14 240  4.1  4.1    MM    MM    MM  MM 1007.4   3.3    MM  -4.8   MM   MM    MM
2023 09 28 02 05 230  3.6  4.6    MM    MM    MM  MM 1007.3   3.3    MM  -4.8   MM   MM    MM
2023 09 28 01 55 240  4.1  5.1    MM    MM    MM  MM 1007.3   3.4    MM  -5.2   MM   MM    MM
2023 09 28 01 45 240  3.6  5.1    MM    MM    MM  MM 1007.1   3.2    MM  -4.7   MM   MM    MM
