#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 25 15 00  MM   MM   MM    MM    MM    MM  MM 1017.5  27.5    MM  22.0   MM +0.7    MM
2023 09 25 14 00  MM   MM   MM    MM    MM    MM  MM 1017.6  26.3    MM  20.4   MM +1.0    MM
2023 09 25 13 00  MM   MM   MM    MM    MM    MM  MM 1017.0  24.1    MM  19.4   MM +1.0    MM
2023 09 25 12 00  MM   MM   MM    MM    MM    MM  MM 1016.8  21.4    MM  20.2   MM +1.0    MM
2023 09 25 11 00  MM   MM   MM    MM    MM    MM  MM 1016.6  19.7    MM  18.9   MM +1.0    MM
2023 09 25 10 00  MM   MM   MM    MM    MM    MM  MM 1016.0  20.3    MM  19.3   MM +0.4    MM
2023 09 25 09 00  MM   MM   MM    MM    MM    MM  MM 1015.8  21.4    MM  19.9   MM -0.0    MM
2023 09 25 08 00  MM   MM   MM    MM    MM    MM  MM 1015.6  21.4    MM  20.0   MM +0.0    MM
2023 09 25 07 00  MM   MM   MM    MM    MM    MM  MM 1015.6  21.2    MM  20.6   MM +0.0    MM
2023 09 25 06 00  MM   MM   MM    MM    MM    MM  MM 1015.9  21.7    MM  21.0   MM +0.0    MM
2023 09 25 05 00  MM   MM   MM    MM    MM    MM  MM 1015.7  22.7    MM  21.1   MM +0.0    MM
2023 09 25 04 00  MM   MM   MM    MM    MM    MM  MM 1015.7  22.6    MM  21.0   MM +0.3    MM
2023 09 25 03 00  MM   MM   MM    MM    MM    MM  MM 1015.9  23.8    MM  21.4   MM +0.8    MM
2023 09 25 02 00  MM   MM   MM    MM    MM    MM  MM 1015.8  27.3    MM  19.3   MM +1.4    MM
2023 09 25 01 00  MM   MM   MM    MM    MM    MM  MM 1015.4  27.5    MM  17.8   MM +1.1    MM
2023 09 25 00 00  MM   MM   MM    MM    MM    MM  MM 1015.1  27.7    MM  17.5   MM +0.8    MM
2023 09 24 23 00  MM   MM   MM    MM    MM    MM  MM 1014.4  28.1    MM  18.0   MM +0.0    MM
2023 09 24 22 00  MM   MM   MM    MM    MM    MM  MM 1014.3  28.2    MM  18.1   MM -0.4    MM
2023 09 24 21 00  MM   MM   MM    MM    MM    MM  MM 1014.3  28.0    MM  20.4   MM -0.7    MM
