#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 09 25 10 00  MM   MM   MM    MM    MM    MM  MM 1015.0  27.7    MM    MM   MM -0.0    MM
2023 09 25 09 00  MM   MM   MM    MM    MM    MM  MM 1014.5  27.8    MM    MM   MM -0.5    MM
2023 09 25 08 00  MM   MM   MM    MM    MM    MM  MM 1014.7  27.9    MM    MM   MM -0.4    MM
2023 09 25 07 00  MM   MM   MM    MM    MM    MM  MM 1014.9  27.4    MM    MM   MM +0.0    MM
2023 09 25 06 00  MM   MM   MM    MM    MM    MM  MM 1015.0  27.2    MM    MM   MM -0.5    MM
2023 09 25 05 00  MM   MM   MM    MM    MM    MM  MM 1015.1  27.2    MM    MM   MM -0.4    MM
2023 09 25 04 00  MM   MM   MM    MM    MM    MM  MM 1015.1  27.1    MM    MM   MM +0.0    MM
2023 09 25 03 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.1    MM    MM   MM +0.8    MM
2023 09 25 02 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.2    MM    MM   MM +1.5    MM
2023 09 25 01 00  MM   MM   MM    MM    MM    MM  MM 1015.0  26.9    MM    MM   MM +1.2    MM
2023 09 25 00 00  MM   MM   MM    MM    MM    MM  MM 1014.7  26.9    MM    MM   MM +0.6    MM
2023 09 24 23 00  MM   MM   MM    MM    MM    MM  MM 1014.0  27.1    MM    MM   MM +0.0    MM
2023 09 24 22 00  MM   MM   MM    MM    MM    MM  MM 1013.8  27.1    MM    MM   MM -0.7    MM
2023 09 24 21 00  MM   MM   MM    MM    MM    MM  MM 1014.1  27.1    MM    MM   MM -0.9    MM
2023 09 24 20 00  MM   MM   MM    MM    MM    MM  MM 1014.2  27.1    MM    MM   MM -1.3    MM
2023 09 24 19 00  MM   MM   MM    MM    MM    MM  MM 1014.5  27.0    MM    MM   MM -1.1    MM
2023 09 24 18 00  MM   MM   MM    MM    MM    MM  MM 1015.0  26.7    MM    MM   MM -0.5    MM
2023 09 24 17 00  MM   MM   MM    MM    MM    MM  MM 1015.5  26.5    MM    MM   MM +0.0    MM
2023 09 24 16 00  MM   MM   MM    MM    MM    MM  MM 1015.6  27.0    MM    MM   MM +0.7    MM
2023 09 24 15 00  MM   MM   MM    MM    MM    MM  MM 1015.5  27.0    MM    MM   MM +1.3    MM
